cid,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
320760,0.0,126.0,132.0,0.0,90.0,30.0,18.0,-13.05480000000001,194.30040000000008,972.8435999999989,0.0,132.0,0.0,474.90000000000015
320761,0.0,147.0,154.0,0.0,105.0,35.0,21.0,-15.230600000000015,226.68380000000013,1134.984199999999,0.0,154.0,0.0,554.0500000000002
86575,0.0,168.0,176.0,0.0,120.0,40.0,24.0,-17.406400000000016,259.0672000000001,1297.124799999999,0.0,176.0,0.0,633.2000000000003
62698,0.0,66.0,68.0,0.0,48.0,16.0,11.0,-7.5729999999999915,100.50280000000001,504.43708000000044,0.0,68.0,0.0,268.67999999999995
439177,0.0,87.0,90.0,0.0,63.0,21.0,14.0,-9.748800000000005,132.8862,666.5776799999986,0.0,90.0,0.0,347.83000000000004
439306,0.0,66.0,68.0,0.0,48.0,16.0,11.0,-7.5729999999999915,100.50280000000001,504.43708000000044,0.0,68.0,0.0,268.67999999999995
35717,0.0,30.0,30.0,1.0,22.0,7.0,5.0,-2.6866999999999983,47.189899999999994,221.20779999999976,0.0,29.0,0.0,119.25
906,0.0,40.0,40.0,2.0,29.0,10.0,7.0,-3.4808999999999983,64.5825,309.2698600000002,0.0,38.0,0.0,176.78
439507,0.0,24.0,24.0,0.0,18.0,6.0,5.0,-3.221399999999998,35.736,180.15587999999985,0.0,24.0,0.0,110.38000000000001
656516,6.0,59.0,61.0,0.0,39.0,12.0,7.0,-3.1080199999999936,101.89259999999999,457.42848000000026,0.0,54.0,1.0,202.32
229,0.0,20.0,20.0,0.0,15.0,5.0,4.0,-2.5822999999999987,29.767200000000003,150.1298999999999,0.0,20.0,0.0,90.15
827,0.0,22.0,21.0,0.0,17.0,5.0,5.0,-2.946299999999999,31.958000000000002,152.1457799999999,0.0,21.0,0.0,101.15
827,0.0,22.0,21.0,0.0,17.0,5.0,5.0,-2.946299999999999,31.958000000000002,152.1457799999999,0.0,21.0,0.0,101.15
